sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
leech_0.002_4x_1.hist	histogram	genome-skim	4.02	151620389	0.94	241.76	0.0033	150
leech_0.002_8x_1.hist	histogram	genome-skim	8.07	151331353	0.94	240.21	0.0033	150
leech_0.01_4x_1.hist	histogram	genome-skim	4.01	152039557	0.95	186.27	0.0033	150
leech_0.001_8x_1.hist	histogram	genome-skim	8.07	151256259	0.93	247.20	0.0033	150
leech_0.002_1x_1.hist	histogram	genome-skim	1.00	153050161	0.95	238.55	0.0033	150
leech_0.0_1x_1.hist	histogram	genome-skim	1.00	152929528	0.95	252.38	0.0032	150
leech_0.008_8x_1.hist	histogram	genome-skim	8.05	151583987	0.95	200.97	0.0033	150
leech_0.006_4x_1.hist	histogram	genome-skim	4.02	151832972	0.95	211.22	0.0033	150
leech_0.006_8x_1.hist	histogram	genome-skim	8.06	151486183	0.94	211.77	0.0033	150
leech_0.02_4x_1.hist	histogram	genome-skim	4.00	152453349	0.96	138.84	0.0032	150
leech_0.001_2x_1.hist	histogram	genome-skim	2.02	151057343	0.94	244.54	0.0033	150
leech_0.01_2x_1.hist	histogram	genome-skim	2.00	152509727	0.95	189.39	0.0033	150
leech_0.008_1x_1.hist	histogram	genome-skim	0.99	154436590	0.96	201.80	0.0032	150
leech_0.006_2x_1.hist	histogram	genome-skim	2.01	152180470	0.95	211.96	0.0033	150
leech_0.001_4x_1.hist	histogram	genome-skim	4.03	151405225	0.94	247.98	0.0033	150
leech_0.001_1x_1.hist	histogram	genome-skim	1.01	150739556	0.95	247.52	0.0034	150
leech_0.006_1x_1.hist	histogram	genome-skim	0.99	153508977	0.95	212.76	0.0033	150
leech_0.0_8x_1.hist	histogram	genome-skim	8.07	151150993	0.93	253.88	0.0033	150
leech_0.002_2x_1.hist	histogram	genome-skim	2.02	151037883	0.94	240.76	0.0033	150
leech_0.004_4x_1.hist	histogram	genome-skim	4.02	151681730	0.94	225.81	0.0033	150
leech_0.004_8x_1.hist	histogram	genome-skim	8.06	151464385	0.94	225.56	0.0033	150
leech_0.0_2x_1.hist	histogram	genome-skim	2.02	151245831	0.94	254.93	0.0033	150
leech_0.02_8x_1.hist	histogram	genome-skim	8.03	152023740	0.96	139.04	0.0032	150
leech_0.02_2x_1.hist	histogram	genome-skim	1.99	153568455	0.96	138.73	0.0032	150
leech_0.02_1x_1.hist	histogram	genome-skim	0.99	153595957	0.97	142.50	0.0032	150
leech_0.008_4x_1.hist	histogram	genome-skim	4.02	151664029	0.95	200.34	0.0033	150
leech_0.008_2x_1.hist	histogram	genome-skim	2.01	151991473	0.95	201.09	0.0033	150
leech_0.0_4x_1.hist	histogram	genome-skim	4.03	151381665	0.93	257.04	0.0033	150
leech_0.004_1x_1.hist	histogram	genome-skim	0.98	155323509	0.95	225.86	0.0032	150
leech_0.01_8x_1.hist	histogram	genome-skim	8.04	151713471	0.95	188.14	0.0033	150
leech_0.01_1x_1.hist	histogram	genome-skim	0.98	155435117	0.96	192.80	0.0032	150
leech_0.004_2x_1.hist	histogram	genome-skim	2.01	151629785	0.94	227.17	0.0033	150
