sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.0_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.50	87317572	0.61	7.54	0.0167	150
moss_0.0_1x_20.hist	histogram	genome-skim	0.93	111871304	0.57	7.14	0.0128	150
moss_0.001_2x_HiSeq2500L150R.hist	histogram	genome-skim	1.95	106338233	0.59	6.92	0.0196	150
moss_0.01_4x_23.hist	histogram	genome-skim	4.10	101169030	0.65	4.87	0.0067	150
moss_0.001_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.03	102048077	0.52	7.15	0.0151	150
moss_0.0_1x_23.hist	histogram	genome-skim	1.02	101380234	0.53	6.81	0.0077	150
moss_0.001_8x_HiSeq2500L150R.hist	histogram	genome-skim	8.24	100638481	0.56	9.45	0.0295	150
moss_0.001_8x_20.hist	histogram	genome-skim	12.69	65349669	0.85	10.12	0.0261	150
moss_0.0_8x_25.hist	histogram	genome-skim	8.41	98575968	0.54	6.76	0.0052	150
moss_0.001_8x_23.hist	histogram	genome-skim	8.55	97032838	0.57	6.52	0.0078	150
moss_0.01_1x_23.hist	histogram	genome-skim	0.97	106502299	0.63	4.73	0.0066	150
moss_0.001_2x_20.hist	histogram	genome-skim	1.94	106841039	0.51	6.58	0.0134	150
moss_0.001_4x_25.hist	histogram	genome-skim	4.09	101290460	0.53	6.45	0.0051	150
moss_0.01_4x_HiSeq2500L150R.hist	histogram	genome-skim	3.87	107050747	0.64	5.29	0.0187	150
moss_0.01_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.90	115613405	0.65	5.18	0.0172	150
moss_0.01_4x_novaseq_profR.hist	histogram	genome-skim	4.06	102200297	0.64	4.92	0.0034	150
moss_0.0_1x_novaseq_profR.hist	histogram	genome-skim	0.99	104868696	0.50	7.23	0.0046	150
moss_0.01_8x_novaseq_profR.hist	histogram	genome-skim	8.22	100887098	0.66	4.85	0.0035	150
moss_0.0_2x_25.hist	histogram	genome-skim	1.86	111679347	0.45	6.65	0.0050	150
moss_0.0_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.05	99011234	0.57	7.04	0.0142	150
