sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.0_4x_25.hist	histogram	genome-skim	4.06	102069521	0.51	6.60	0.0052	150
moss_0.001_4x_HiSeq2500L150R.hist	histogram	genome-skim	3.76	110299281	0.53	7.28	0.0202	150
moss_0.001_2x_23.hist	histogram	genome-skim	1.91	108777068	0.48	6.82	0.0074	150
moss_0.01_2x_25.hist	histogram	genome-skim	1.98	104726839	0.62	5.09	0.0043	150
moss_0.001_8x_25.hist	histogram	genome-skim	8.41	98601131	0.55	6.59	0.0051	150
moss_0.01_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.09	99129545	0.66	5.47	0.0135	150
moss_0.0_8x_novaseq_profR.hist	histogram	genome-skim	8.34	99410734	0.53	6.65	0.0042	150
moss_0.001_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.04	101455591	0.52	6.77	0.0151	150
moss_0.001_8x_novaseq_profR.hist	histogram	genome-skim	8.32	99671887	0.55	6.48	0.0040	150
moss_0.001_2x_novaseq_profR.hist	histogram	genome-skim	1.84	112789894	0.45	6.19	0.0040	150
moss_0.001_4x_novaseq_profR.hist	histogram	genome-skim	4.06	102041724	0.53	6.43	0.0040	150
moss_0.001_2x_20.hist	histogram	genome-skim	1.94	107098911	0.52	6.96	0.0133	150
moss_0.01_8x_HiSeq2500L150R.hist	histogram	genome-skim	11.10	74723405	0.90	6.86	0.0268	150
moss_0.01_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.78	132270568	0.62	4.66	0.0173	150
moss_0.0_4x_HiSeq2500L150R.hist	histogram	genome-skim	3.81	108927840	0.53	7.53	0.0205	150
moss_0.001_1x_25.hist	histogram	genome-skim	0.97	106659714	0.51	6.52	0.0054	150
moss_0.01_1x_novaseq_profR.hist	histogram	genome-skim	0.98	105843641	0.62	4.95	0.0040	150
moss_0.0_4x_23.hist	histogram	genome-skim	4.06	102126918	0.51	6.72	0.0080	150
moss_0.01_1x_MiSeqv3L250R.hist	histogram	genome-skim	0.95	109086859	0.64	5.16	0.0127	150
moss_0.001_1x_23.hist	histogram	genome-skim	1.01	102327190	0.54	6.56	0.0076	150
moss_0.001_4x_23.hist	histogram	genome-skim	4.06	102064066	0.53	6.59	0.0078	150
moss_0.01_1x_25.hist	histogram	genome-skim	0.94	110215002	0.61	4.79	0.0047	150
moss_0.001_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.00	104005438	0.61	7.10	0.0140	150
moss_0.01_4x_HiSeq2500L150R.hist	histogram	genome-skim	3.87	107164731	0.64	5.49	0.0188	150
moss_0.01_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.29	96702781	0.68	5.20	0.0139	150
moss_0.0_2x_25.hist	histogram	genome-skim	1.89	109477993	0.46	6.64	0.0050	150
moss_0.0_8x_20.hist	histogram	genome-skim	12.80	64790641	0.83	10.91	0.0265	150
moss_0.001_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.42	88019411	0.62	7.28	0.0163	150
moss_0.0_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.49	87405103	0.61	7.67	0.0166	150
moss_0.0_1x_23.hist	histogram	genome-skim	0.98	105671064	0.51	7.08	0.0076	150
moss_0.0_2x_novaseq_profR.hist	histogram	genome-skim	1.86	111445835	0.45	6.65	0.0041	150
moss_0.01_8x_novaseq_profR.hist	histogram	genome-skim	8.23	100749513	0.66	4.94	0.0034	150
moss_0.01_1x_20.hist	histogram	genome-skim	0.90	114923594	0.65	4.97	0.0115	150
moss_0.01_8x_25.hist	histogram	genome-skim	8.27	100225585	0.66	4.96	0.0043	150
moss_0.01_2x_20.hist	histogram	genome-skim	1.96	105652625	0.63	5.43	0.0122	150
moss_0.0_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.31	96310118	0.53	7.55	0.0161	150
