sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
oyster_0.004_8x_1.hist	histogram	genome-skim	8.24	95387610	0.71	129.72	0.0042	150
oyster_0.001_8x_1.hist	histogram	genome-skim	8.28	94916500	0.68	142.53	0.0044	150
oyster_0.008_1x_1.hist	histogram	genome-skim	1.00	98175851	0.76	115.57	0.0041	150
oyster_0.001_4x_1.hist	histogram	genome-skim	4.08	96316630	0.66	143.34	0.0043	150
oyster_0.004_2x_1.hist	histogram	genome-skim	2.02	97096231	0.69	127.16	0.0041	150
oyster_0.008_4x_1.hist	histogram	genome-skim	4.06	96730198	0.74	114.03	0.0040	150
oyster_0.01_1x_1.hist	histogram	genome-skim	1.01	97366807	0.77	107.35	0.0042	150
oyster_0.002_4x_1.hist	histogram	genome-skim	4.08	96331449	0.67	138.19	0.0043	150
oyster_0.02_8x_1.hist	histogram	genome-skim	8.11	96869827	0.84	78.14	0.0036	150
oyster_0.02_4x_1.hist	histogram	genome-skim	4.04	97270194	0.83	78.16	0.0036	150
oyster_0.006_8x_1.hist	histogram	genome-skim	8.24	95434010	0.73	120.78	0.0041	150
oyster_0.02_2x_1.hist	histogram	genome-skim	2.00	98092159	0.82	78.19	0.0036	150
oyster_0.01_8x_1.hist	histogram	genome-skim	8.18	96033576	0.77	106.68	0.0039	150
oyster_0.002_8x_1.hist	histogram	genome-skim	8.27	95085489	0.69	139.45	0.0043	150
oyster_0.006_4x_1.hist	histogram	genome-skim	4.06	96714888	0.72	120.02	0.0040	150
oyster_0.0_2x_1.hist	histogram	genome-skim	2.01	97771955	0.64	145.88	0.0043	150
oyster_0.01_4x_1.hist	histogram	genome-skim	4.05	96999779	0.76	105.26	0.0039	150
oyster_0.004_1x_1.hist	histogram	genome-skim	1.01	96826093	0.72	128.10	0.0045	150
oyster_0.0_4x_1.hist	histogram	genome-skim	4.08	96310458	0.65	145.73	0.0044	150
oyster_0.0_1x_1.hist	histogram	genome-skim	0.94	104235634	0.58	149.65	0.0048	150
oyster_0.001_1x_1.hist	histogram	genome-skim	1.00	98215027	0.67	147.41	0.0046	150
oyster_0.001_2x_1.hist	histogram	genome-skim	2.00	98149926	0.65	142.70	0.0042	150
oyster_0.002_2x_1.hist	histogram	genome-skim	2.02	97047775	0.66	134.89	0.0043	150
oyster_0.0_8x_1.hist	histogram	genome-skim	8.29	94761250	0.67	147.16	0.0044	150
oyster_0.01_2x_1.hist	histogram	genome-skim	2.00	98158036	0.75	104.23	0.0039	150
oyster_0.006_1x_1.hist	histogram	genome-skim	1.01	97424210	0.74	123.71	0.0044	150
oyster_0.02_1x_1.hist	histogram	genome-skim	1.02	96376526	0.85	78.86	0.0039	150
oyster_0.002_1x_1.hist	histogram	genome-skim	0.89	110420251	0.56	136.48	0.0046	150
oyster_0.006_2x_1.hist	histogram	genome-skim	2.03	96768423	0.72	121.70	0.0041	150
oyster_0.008_2x_1.hist	histogram	genome-skim	2.02	97475800	0.73	113.95	0.0039	150
oyster_0.004_4x_1.hist	histogram	genome-skim	4.07	96648200	0.70	128.66	0.0041	150
oyster_0.008_8x_1.hist	histogram	genome-skim	8.20	95892631	0.75	114.41	0.0040	150
