sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
rotifer_0.001_4x_HiSeq2500L150R.hist	histogram	genome-skim	4.02	100007482	0.89	8.28	0.0167	150
rotifer_0.0_2x_HiSeq2500L150R.hist	histogram	genome-skim	2.01	100181887	0.88	7.68	0.0167	150
rotifer_0.01_1x_HiSeq2500L150R.hist	histogram	genome-skim	1.03	97818802	0.96	6.34	0.0165	150
rotifer_0.01_2x_25.hist	histogram	genome-skim	2.02	99448973	0.91	5.77	0.0035	150
rotifer_0.01_8x_25.hist	histogram	genome-skim	8.06	99699904	0.90	6.05	0.0034	150
rotifer_0.001_8x_20.hist	histogram	genome-skim	8.22	97704879	0.88	7.86	0.0110	150
rotifer_0.0_2x_novaseq_profR.hist	histogram	genome-skim	2.02	99591189	0.86	8.18	0.0028	150
rotifer_0.001_2x_HiSeq2500L150R.hist	histogram	genome-skim	2.00	100596282	0.88	8.72	0.0166	150
rotifer_0.01_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.07	98662523	0.92	5.82	0.0112	150
rotifer_0.0_2x_20.hist	histogram	genome-skim	2.03	99154188	0.87	7.79	0.0108	150
rotifer_0.01_1x_23.hist	histogram	genome-skim	1.03	97190806	0.94	6.77	0.0056	150
rotifer_0.001_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.06	94780790	0.91	7.97	0.0115	150
rotifer_0.001_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.05	97831205	0.88	8.16	0.0115	150
rotifer_0.001_1x_HiSeq2500L150R.hist	histogram	genome-skim	1.01	99553235	0.92	7.04	0.0164	150
rotifer_0.0_8x_23.hist	histogram	genome-skim	8.14	98722047	0.86	8.06	0.0056	150
rotifer_0.0_2x_23.hist	histogram	genome-skim	2.03	99019024	0.87	8.41	0.0056	150
rotifer_0.001_8x_novaseq_profR.hist	histogram	genome-skim	8.06	99645433	0.86	7.55	0.0028	150
rotifer_0.001_8x_MiSeqv3L250R.hist	histogram	genome-skim	8.29	96913522	0.89	7.60	0.0117	150
rotifer_0.01_4x_25.hist	histogram	genome-skim	4.02	99876832	0.91	5.88	0.0034	150
rotifer_0.0_1x_23.hist	histogram	genome-skim	1.02	98082604	0.89	7.40	0.0057	150
rotifer_0.01_4x_23.hist	histogram	genome-skim	4.04	99560096	0.91	5.40	0.0054	150
rotifer_0.01_4x_20.hist	histogram	genome-skim	4.02	99857260	0.92	6.23	0.0106	150
rotifer_0.0_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.04	98570022	0.87	7.91	0.0115	150
rotifer_0.0_1x_20.hist	histogram	genome-skim	1.02	98396146	0.91	8.65	0.0108	150
rotifer_0.001_2x_25.hist	histogram	genome-skim	2.02	99326262	0.87	7.76	0.0036	150
rotifer_0.01_2x_23.hist	histogram	genome-skim	2.01	100024630	0.90	6.11	0.0054	150
rotifer_0.0_8x_MiSeqv3L250R.hist	histogram	genome-skim	8.31	96638011	0.88	8.05	0.0118	150
rotifer_0.0_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.03	97734696	0.92	8.84	0.0113	150
rotifer_0.01_8x_HiSeq2500L150R.hist	histogram	genome-skim	8.21	97865582	0.93	6.11	0.0166	150
rotifer_0.001_1x_25.hist	histogram	genome-skim	1.02	98397480	0.89	8.63	0.0038	150
rotifer_0.01_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.05	98184677	0.92	6.29	0.0112	150
rotifer_0.0_1x_25.hist	histogram	genome-skim	1.01	98964661	0.88	7.82	0.0038	150
rotifer_0.0_4x_25.hist	histogram	genome-skim	4.03	99612047	0.86	7.52	0.0036	150
rotifer_0.0_2x_25.hist	histogram	genome-skim	2.01	99727250	0.86	7.92	0.0036	150
rotifer_0.01_1x_25.hist	histogram	genome-skim	1.03	97141925	0.93	6.19	0.0037	150
rotifer_0.01_4x_HiSeq2500L150R.hist	histogram	genome-skim	4.00	100533474	0.92	6.45	0.0163	150
rotifer_0.001_1x_23.hist	histogram	genome-skim	1.01	99034751	0.89	8.53	0.0056	150
rotifer_0.01_8x_novaseq_profR.hist	histogram	genome-skim	8.05	99842602	0.90	5.75	0.0027	150
rotifer_0.0_8x_HiSeq2500L150R.hist	histogram	genome-skim	8.34	96395468	0.89	8.06	0.0172	150
rotifer_0.0_4x_20.hist	histogram	genome-skim	4.06	98984149	0.88	7.97	0.0109	150
rotifer_0.001_8x_25.hist	histogram	genome-skim	8.09	99247130	0.87	7.64	0.0036	150
rotifer_0.01_2x_20.hist	histogram	genome-skim	2.00	100473196	0.91	5.85	0.0105	150
rotifer_0.0_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.10	97933892	0.88	8.00	0.0116	150
rotifer_0.001_8x_23.hist	histogram	genome-skim	8.14	98694694	0.87	7.60	0.0056	150
rotifer_0.001_4x_20.hist	histogram	genome-skim	4.05	99298765	0.88	7.82	0.0109	150
rotifer_0.001_1x_novaseq_profR.hist	histogram	genome-skim	1.02	98602171	0.89	8.07	0.0031	150
rotifer_0.0_8x_25.hist	histogram	genome-skim	8.10	99207007	0.86	7.78	0.0036	150
rotifer_0.0_1x_HiSeq2500L150R.hist	histogram	genome-skim	1.02	98762246	0.93	7.87	0.0168	150
rotifer_0.0_4x_23.hist	histogram	genome-skim	4.05	99248817	0.86	7.77	0.0056	150
rotifer_0.01_1x_20.hist	histogram	genome-skim	0.99	100932348	0.94	6.47	0.0104	150
rotifer_0.01_8x_MiSeqv3L250R.hist	histogram	genome-skim	8.19	98059975	0.92	6.01	0.0113	150
rotifer_0.001_2x_23.hist	histogram	genome-skim	2.03	98846917	0.87	7.86	0.0056	150
rotifer_0.0_8x_20.hist	histogram	genome-skim	8.22	97742444	0.88	7.95	0.0110	150
