sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
oyster_0.01_4x_1.hist	histogram	genome-skim	4.06	96723704	0.76	104.75	0.0039	150
oyster_0.01_2x_1.hist	histogram	genome-skim	2.01	97608392	0.75	102.90	0.0039	150
oyster_0.008_2x_1.hist	histogram	genome-skim	2.02	97136287	0.74	114.88	0.0040	150
oyster_0.02_2x_1.hist	histogram	genome-skim	2.02	97487161	0.83	80.06	0.0036	150
oyster_0.006_1x_1.hist	histogram	genome-skim	0.99	98825011	0.73	121.03	0.0044	150
oyster_0.006_8x_1.hist	histogram	genome-skim	8.22	95567156	0.73	122.50	0.0041	150
oyster_0.02_8x_1.hist	histogram	genome-skim	8.12	96822250	0.84	80.07	0.0036	150
oyster_0.01_1x_1.hist	histogram	genome-skim	1.00	98031569	0.78	103.41	0.0041	150
oyster_0.002_8x_1.hist	histogram	genome-skim	8.29	94811348	0.69	138.51	0.0043	150
oyster_0.004_2x_1.hist	histogram	genome-skim	2.01	97880041	0.69	127.25	0.0041	150
oyster_0.008_1x_1.hist	histogram	genome-skim	1.02	96764410	0.76	114.98	0.0043	150
oyster_0.01_8x_1.hist	histogram	genome-skim	8.19	95915651	0.77	106.43	0.0039	150
oyster_0.001_1x_1.hist	histogram	genome-skim	1.03	94970463	0.68	144.45	0.0047	150
oyster_0.001_2x_1.hist	histogram	genome-skim	2.01	97805217	0.65	141.10	0.0043	150
oyster_0.02_4x_1.hist	histogram	genome-skim	4.03	97534770	0.83	80.12	0.0036	150
oyster_0.002_4x_1.hist	histogram	genome-skim	4.08	96270125	0.68	139.78	0.0043	150
oyster_0.006_4x_1.hist	histogram	genome-skim	4.06	96716849	0.72	122.85	0.0040	150
oyster_0.02_1x_1.hist	histogram	genome-skim	1.02	95978740	0.85	80.84	0.0039	150
oyster_0.0_2x_1.hist	histogram	genome-skim	2.02	97329833	0.64	150.33	0.0044	150
oyster_0.002_2x_1.hist	histogram	genome-skim	2.01	97536030	0.66	138.80	0.0042	150
oyster_0.004_4x_1.hist	histogram	genome-skim	4.08	96375015	0.70	126.84	0.0042	150
oyster_0.002_1x_1.hist	histogram	genome-skim	0.98	100525828	0.63	140.79	0.0047	150
oyster_0.008_4x_1.hist	histogram	genome-skim	4.07	96538575	0.74	114.79	0.0040	150
oyster_0.008_8x_1.hist	histogram	genome-skim	8.22	95643168	0.75	114.25	0.0040	150
oyster_0.001_4x_1.hist	histogram	genome-skim	4.08	96244255	0.66	142.23	0.0043	150
oyster_0.0_1x_1.hist	histogram	genome-skim	0.96	102727061	0.62	149.97	0.0048	150
oyster_0.006_2x_1.hist	histogram	genome-skim	2.01	97681629	0.71	121.14	0.0040	150
oyster_0.001_8x_1.hist	histogram	genome-skim	8.28	94904181	0.68	142.11	0.0044	150
oyster_0.004_1x_1.hist	histogram	genome-skim	1.04	94714709	0.73	131.08	0.0046	150
oyster_0.0_4x_1.hist	histogram	genome-skim	4.08	96327590	0.65	149.14	0.0044	150
oyster_0.0_8x_1.hist	histogram	genome-skim	8.30	94697501	0.67	148.62	0.0045	150
oyster_0.004_8x_1.hist	histogram	genome-skim	8.23	95493253	0.71	128.34	0.0042	150
