sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
club-moss_0.001_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.54	163793071	0.64	40.29	0.0137	150
club-moss_0.0_2x_25.hist	histogram	genome-skim	2.40	173003796	0.58	38.53	0.0046	150
club-moss_0.0_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.64	157045859	0.65	41.93	0.0138	150
club-moss_0.001_4x_novaseq_profR.hist	histogram	genome-skim	4.12	201837273	0.46	38.15	0.0039	150
club-moss_0.001_2x_25.hist	histogram	genome-skim	2.38	174251692	0.60	38.78	0.0046	150
club-moss_0.01_4x_25.hist	histogram	genome-skim	4.23	196226262	0.66	28.55	0.0043	150
club-moss_0.001_1x_23.hist	histogram	genome-skim	1.30	160342048	0.69	37.70	0.0064	150
club-moss_0.0_4x_20.hist	histogram	genome-skim	4.37	190223393	0.49	42.51	0.0143	150
club-moss_0.0_2x_HiSeq2500L150R.hist	histogram	genome-skim	2.12	195609428	0.51	40.65	0.0184	150
club-moss_0.01_1x_23.hist	histogram	genome-skim	1.13	184501560	0.75	28.06	0.0061	150
club-moss_0.01_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.41	188223524	0.70	30.89	0.0135	150
club-moss_0.0_4x_HiSeq2500L150R.hist	histogram	genome-skim	4.26	194825709	0.50	43.00	0.0203	150
club-moss_0.01_8x_25.hist	histogram	genome-skim	8.33	199406462	0.64	28.69	0.0044	150
club-moss_0.001_1x_novaseq_profR.hist	histogram	genome-skim	1.27	163013093	0.67	37.89	0.0038	150
club-moss_0.01_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.82	251845637	0.58	29.08	0.0161	150
club-moss_0.0_8x_HiSeq2500L150R.hist	histogram	genome-skim	13.82	120202117	0.77	66.31	0.0336	150
club-moss_0.001_2x_23.hist	histogram	genome-skim	2.44	170067666	0.62	37.81	0.0068	150
club-moss_0.001_8x_20.hist	histogram	genome-skim	9.25	179612466	0.52	43.04	0.0155	150
club-moss_0.01_8x_23.hist	histogram	genome-skim	8.45	196572034	0.65	29.23	0.0068	150
club-moss_0.01_1x_25.hist	histogram	genome-skim	1.11	186900334	0.74	28.89	0.0043	150
club-moss_0.001_8x_23.hist	histogram	genome-skim	8.73	190237638	0.49	39.78	0.0083	150
club-moss_0.001_2x_novaseq_profR.hist	histogram	genome-skim	2.34	177261883	0.59	38.08	0.0037	150
club-moss_0.001_8x_25.hist	histogram	genome-skim	8.61	192883864	0.49	38.91	0.0056	150
club-moss_0.01_4x_23.hist	histogram	genome-skim	4.33	192036486	0.67	29.34	0.0066	150
club-moss_0.001_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.61	180380115	0.53	42.59	0.0154	150
club-moss_0.001_1x_20.hist	histogram	genome-skim	1.17	176820164	0.66	36.71	0.0109	150
club-moss_0.0_1x_23.hist	histogram	genome-skim	1.26	165346525	0.65	38.63	0.0063	150
club-moss_0.0_4x_MiSeqv3L250R.hist	histogram	genome-skim	4.59	180985684	0.50	44.99	0.0157	150
club-moss_0.0_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.95	218718320	0.54	36.97	0.0162	150
club-moss_0.01_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.13	183855100	0.79	28.58	0.0116	150
club-moss_0.001_4x_HiSeq2500L150R.hist	histogram	genome-skim	4.23	196501943	0.52	41.70	0.0201	150
club-moss_0.001_1x_25.hist	histogram	genome-skim	1.28	162763497	0.67	38.06	0.0045	150
club-moss_0.01_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.31	179901763	0.75	29.99	0.0128	150
club-moss_0.01_2x_20.hist	histogram	genome-skim	2.17	191125549	0.71	27.88	0.0117	150
club-moss_0.01_4x_HiSeq2500L150R.hist	histogram	genome-skim	4.22	196678460	0.70	30.31	0.0184	150
club-moss_0.01_4x_20.hist	histogram	genome-skim	4.27	194558805	0.69	30.00	0.0124	150
club-moss_0.001_4x_20.hist	histogram	genome-skim	4.22	196832179	0.49	40.38	0.0141	150
club-moss_0.0_2x_novaseq_profR.hist	histogram	genome-skim	2.35	176553173	0.56	40.71	0.0038	150
club-moss_0.001_2x_20.hist	histogram	genome-skim	2.40	172973276	0.62	38.36	0.0123	150
club-moss_0.0_1x_25.hist	histogram	genome-skim	1.31	158203892	0.66	38.02	0.0047	150
club-moss_0.01_1x_20.hist	histogram	genome-skim	1.07	193530461	0.76	28.83	0.0107	150
club-moss_0.01_1x_novaseq_profR.hist	histogram	genome-skim	1.12	185122941	0.74	27.70	0.0037	150
club-moss_0.0_1x_novaseq_profR.hist	histogram	genome-skim	1.30	160149707	0.65	39.94	0.0039	150
club-moss_0.01_2x_23.hist	histogram	genome-skim	2.20	188954956	0.70	29.67	0.0063	150
club-moss_0.001_8x_HiSeq2500L150R.hist	histogram	genome-skim	13.17	126168006	0.75	63.68	0.0327	150
club-moss_0.01_2x_novaseq_profR.hist	histogram	genome-skim	2.17	191724400	0.69	27.66	0.0033	150
club-moss_0.01_4x_novaseq_profR.hist	histogram	genome-skim	4.19	198366537	0.65	28.52	0.0033	150
club-moss_0.01_8x_20.hist	histogram	genome-skim	8.74	190040715	0.68	30.37	0.0130	150
club-moss_0.01_2x_HiSeq2500L150R.hist	histogram	genome-skim	2.16	191861550	0.72	29.04	0.0177	150
club-moss_0.0_2x_20.hist	histogram	genome-skim	2.57	161860904	0.64	39.95	0.0124	150
club-moss_0.01_8x_novaseq_profR.hist	histogram	genome-skim	8.25	201371041	0.64	28.35	0.0034	150
club-moss_0.0_4x_novaseq_profR.hist	histogram	genome-skim	4.15	200231961	0.44	38.72	0.0041	150
club-moss_0.0_8x_novaseq_profR.hist	histogram	genome-skim	8.50	195462511	0.45	39.89	0.0045	150
club-moss_0.0_8x_25.hist	histogram	genome-skim	8.64	192228004	0.46	41.12	0.0058	150
club-moss_0.001_1x_HiSeq2500L150R.hist	histogram	genome-skim	1.00	206869623	0.56	37.71	0.0162	150
club-moss_0.001_4x_23.hist	histogram	genome-skim	4.19	198042238	0.47	39.14	0.0078	150
club-moss_0.0_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.92	167469133	0.54	46.65	0.0176	150
club-moss_0.01_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.10	182564028	0.71	31.17	0.0142	150
club-moss_0.0_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.36	153074091	0.73	38.70	0.0121	150
club-moss_0.01_2x_25.hist	histogram	genome-skim	2.17	191482518	0.70	28.80	0.0041	150
club-moss_0.001_1x_MiSeqv3L250R.hist	histogram	genome-skim	1.19	174871728	0.66	37.00	0.0120	150
club-moss_0.0_2x_23.hist	histogram	genome-skim	2.47	167966347	0.61	40.92	0.0069	150
club-moss_0.0_8x_23.hist	histogram	genome-skim	8.89	186856155	0.48	41.45	0.0087	150
club-moss_0.0_1x_20.hist	histogram	genome-skim	1.23	168240474	0.67	38.64	0.0110	150
club-moss_0.0_8x_20.hist	histogram	genome-skim	9.46	175633545	0.52	44.69	0.0159	150
club-moss_0.0_4x_23.hist	histogram	genome-skim	4.29	193484195	0.47	41.40	0.0080	150
club-moss_0.001_4x_25.hist	histogram	genome-skim	4.13	201021550	0.46	38.82	0.0049	150
club-moss_0.0_4x_25.hist	histogram	genome-skim	4.17	198946438	0.45	39.75	0.0050	150
club-moss_0.001_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.75	170334854	0.55	45.06	0.0171	150
club-moss_0.01_8x_HiSeq2500L150R.hist	histogram	genome-skim	11.32	146813359	0.88	39.84	0.0269	150
club-moss_0.001_2x_HiSeq2500L150R.hist	histogram	genome-skim	2.10	198238082	0.53	39.83	0.0183	150
club-moss_0.001_8x_novaseq_profR.hist	histogram	genome-skim	8.45	196569775	0.47	38.60	0.0043	150
