sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.004_8x_1.hist	histogram	genome-skim	8.36	99188473	0.59	5.76	0.0048	150
moss_0.02_8x_1.hist	histogram	genome-skim	8.18	101416635	0.75	3.62	0.0039	150
moss_0.01_4x_1.hist	histogram	genome-skim	4.08	101577182	0.65	4.81	0.0043	150
moss_0.001_2x_1.hist	histogram	genome-skim	1.85	112044555	0.46	6.56	0.0049	150
moss_0.006_8x_1.hist	histogram	genome-skim	8.34	99393348	0.62	5.56	0.0046	150
moss_0.001_8x_1.hist	histogram	genome-skim	8.41	98628852	0.56	6.46	0.0051	150
moss_0.01_8x_1.hist	histogram	genome-skim	8.27	100288370	0.66	4.69	0.0044	150
moss_0.008_8x_1.hist	histogram	genome-skim	8.31	99802177	0.64	5.09	0.0045	150
moss_0.01_1x_1.hist	histogram	genome-skim	0.99	104212060	0.63	4.85	0.0048	150
moss_0.004_2x_1.hist	histogram	genome-skim	1.89	109916847	0.51	5.76	0.0047	150
moss_0.006_1x_1.hist	histogram	genome-skim	0.92	112166148	0.54	6.16	0.0049	150
moss_0.02_4x_1.hist	histogram	genome-skim	4.05	102466291	0.74	3.55	0.0039	150
moss_0.006_2x_1.hist	histogram	genome-skim	1.93	107171865	0.56	5.48	0.0045	150
moss_0.008_4x_1.hist	histogram	genome-skim	4.08	101730187	0.63	5.15	0.0044	150
moss_0.0_4x_1.hist	histogram	genome-skim	4.08	101761002	0.51	6.59	0.0052	150
moss_0.01_2x_1.hist	histogram	genome-skim	1.98	104568197	0.62	4.72	0.0043	150
moss_0.0_1x_1.hist	histogram	genome-skim	0.98	106243220	0.50	6.83	0.0055	150
moss_0.004_1x_1.hist	histogram	genome-skim	0.94	110799771	0.53	5.66	0.0051	150
moss_0.0_2x_1.hist	histogram	genome-skim	1.90	109068230	0.46	6.68	0.0051	150
moss_0.006_4x_1.hist	histogram	genome-skim	4.09	101464695	0.60	5.68	0.0046	150
moss_0.002_4x_1.hist	histogram	genome-skim	4.09	101511996	0.54	6.25	0.0050	150
moss_0.008_2x_1.hist	histogram	genome-skim	1.96	105588131	0.59	4.95	0.0044	150
moss_0.002_2x_1.hist	histogram	genome-skim	1.84	112897339	0.47	5.97	0.0048	150
moss_0.002_1x_1.hist	histogram	genome-skim	0.95	108806657	0.51	6.14	0.0053	150
moss_0.008_1x_1.hist	histogram	genome-skim	0.98	106102030	0.59	5.13	0.0049	150
moss_0.02_2x_1.hist	histogram	genome-skim	2.00	103871408	0.73	3.79	0.0039	150
moss_0.001_1x_1.hist	histogram	genome-skim	0.98	106217839	0.54	6.77	0.0054	150
moss_0.0_8x_1.hist	histogram	genome-skim	8.42	98531166	0.54	6.69	0.0052	150
moss_0.002_8x_1.hist	histogram	genome-skim	8.39	98835195	0.57	6.28	0.0050	150
moss_0.001_4x_1.hist	histogram	genome-skim	4.07	101853847	0.53	6.40	0.0051	150
moss_0.02_1x_1.hist	histogram	genome-skim	1.01	102887320	0.75	3.72	0.0042	150
moss_0.004_4x_1.hist	histogram	genome-skim	4.08	101712914	0.57	5.71	0.0048	150
