sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
rotifer_0.01_8x_1.hist	histogram	genome-skim	8.06	99657855	0.91	5.55	0.0034	150
rotifer_0.002_2x_1.hist	histogram	genome-skim	2.01	99968075	0.87	7.09	0.0035	150
rotifer_0.004_4x_1.hist	histogram	genome-skim	4.03	99778277	0.88	6.64	0.0035	150
rotifer_0.001_8x_1.hist	histogram	genome-skim	8.09	99265002	0.87	7.75	0.0036	150
rotifer_0.001_2x_1.hist	histogram	genome-skim	2.00	100482723	0.86	6.94	0.0036	150
rotifer_0.006_2x_1.hist	histogram	genome-skim	2.01	99763818	0.89	7.11	0.0035	150
rotifer_0.006_8x_1.hist	histogram	genome-skim	8.08	99493302	0.89	6.20	0.0035	150
rotifer_0.01_4x_1.hist	histogram	genome-skim	4.01	100061081	0.90	6.10	0.0034	150
rotifer_0.004_1x_1.hist	histogram	genome-skim	1.02	98102161	0.91	7.17	0.0038	150
rotifer_0.0_2x_1.hist	histogram	genome-skim	2.01	99898000	0.85	7.58	0.0036	150
rotifer_0.002_1x_1.hist	histogram	genome-skim	1.00	100114906	0.88	7.46	0.0038	150
rotifer_0.008_4x_1.hist	histogram	genome-skim	4.03	99779004	0.90	5.52	0.0035	150
rotifer_0.004_8x_1.hist	histogram	genome-skim	8.08	99420345	0.88	7.13	0.0035	150
rotifer_0.0_4x_1.hist	histogram	genome-skim	4.03	99668388	0.86	8.33	0.0036	150
rotifer_0.0_1x_1.hist	histogram	genome-skim	1.00	100310145	0.88	8.40	0.0038	150
rotifer_0.008_1x_1.hist	histogram	genome-skim	1.02	98762516	0.92	5.53	0.0037	150
rotifer_0.001_1x_1.hist	histogram	genome-skim	1.01	99317337	0.89	7.31	0.0038	150
rotifer_0.008_8x_1.hist	histogram	genome-skim	8.07	99546256	0.90	5.99	0.0035	150
rotifer_0.02_4x_1.hist	histogram	genome-skim	3.99	100580390	0.93	4.68	0.0033	150
rotifer_0.01_2x_1.hist	histogram	genome-skim	2.01	99798479	0.91	6.09	0.0034	150
rotifer_0.002_8x_1.hist	histogram	genome-skim	8.08	99425413	0.87	6.94	0.0035	150
rotifer_0.02_2x_1.hist	histogram	genome-skim	2.00	100606501	0.94	4.80	0.0033	150
rotifer_0.001_4x_1.hist	histogram	genome-skim	4.03	99773498	0.86	8.19	0.0036	150
rotifer_0.006_1x_1.hist	histogram	genome-skim	1.00	100048124	0.91	6.52	0.0037	150
rotifer_0.02_8x_1.hist	histogram	genome-skim	8.04	99939920	0.94	4.51	0.0033	150
rotifer_0.02_1x_1.hist	histogram	genome-skim	1.02	98566093	0.96	5.03	0.0035	150
rotifer_0.002_4x_1.hist	histogram	genome-skim	4.02	99827394	0.87	7.21	0.0035	150
rotifer_0.0_8x_1.hist	histogram	genome-skim	8.10	99184205	0.86	8.11	0.0036	150
rotifer_0.006_4x_1.hist	histogram	genome-skim	4.03	99781043	0.89	6.80	0.0035	150
rotifer_0.008_2x_1.hist	histogram	genome-skim	2.02	99649773	0.90	5.99	0.0035	150
rotifer_0.01_1x_1.hist	histogram	genome-skim	1.00	100197467	0.92	5.81	0.0036	150
rotifer_0.004_2x_1.hist	histogram	genome-skim	2.01	99756131	0.88	7.42	0.0035	150
