sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.001_4x_HiSeq2500L150R.hist	histogram	genome-skim	3.76	110154208	0.53	6.98	0.0203	150
moss_0.001_1x_25.hist	histogram	genome-skim	0.95	109491920	0.50	7.11	0.0054	150
moss_0.001_4x_novaseq_profR.hist	histogram	genome-skim	4.05	102379557	0.53	6.41	0.0040	150
moss_0.01_2x_HiSeq2500L150R.hist	histogram	genome-skim	1.94	106715265	0.65	5.29	0.0183	150
moss_0.0_8x_HiSeq2500L150R.hist	histogram	genome-skim	8.26	100406236	0.56	9.99	0.0298	150
moss_0.001_8x_25.hist	histogram	genome-skim	8.41	98661288	0.56	6.33	0.0051	150
moss_0.01_2x_20.hist	histogram	genome-skim	1.98	104729148	0.64	5.11	0.0122	150
moss_0.0_4x_HiSeq2500L150R.hist	histogram	genome-skim	3.60	115088846	0.48	7.37	0.0205	150
moss_0.0_1x_23.hist	histogram	genome-skim	0.96	107713709	0.50	7.04	0.0076	150
moss_0.01_4x_25.hist	histogram	genome-skim	4.08	101578912	0.65	4.76	0.0043	150
moss_0.0_8x_25.hist	histogram	genome-skim	8.42	98493841	0.54	6.79	0.0052	150
moss_0.001_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.43	87920562	0.62	7.13	0.0163	150
moss_0.001_8x_HiSeq2500L150R.hist	histogram	genome-skim	8.26	100445895	0.56	9.46	0.0295	150
moss_0.0_2x_novaseq_profR.hist	histogram	genome-skim	1.84	112744102	0.44	6.64	0.0040	150
moss_0.001_4x_23.hist	histogram	genome-skim	4.04	102557855	0.52	6.49	0.0078	150
moss_0.01_8x_23.hist	histogram	genome-skim	8.40	98685028	0.68	5.00	0.0067	150
moss_0.0_2x_25.hist	histogram	genome-skim	1.88	110103139	0.46	6.62	0.0050	150
moss_0.001_4x_20.hist	histogram	genome-skim	3.94	105157826	0.52	6.59	0.0141	150
moss_0.001_2x_20.hist	histogram	genome-skim	1.95	106631073	0.52	7.01	0.0133	150
moss_0.01_2x_23.hist	histogram	genome-skim	1.99	104128512	0.63	4.87	0.0065	150
moss_0.0_2x_20.hist	histogram	genome-skim	1.95	106225050	0.52	6.94	0.0135	150
moss_0.0_4x_novaseq_profR.hist	histogram	genome-skim	4.04	102540058	0.51	6.56	0.0041	150
moss_0.0_1x_novaseq_profR.hist	histogram	genome-skim	1.00	103687783	0.50	6.65	0.0047	150
moss_0.0_2x_HiSeq2500L150R.hist	histogram	genome-skim	1.96	105848149	0.55	7.00	0.0198	150
moss_0.0_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.96	108490355	0.63	6.79	0.0185	150
moss_0.01_1x_novaseq_profR.hist	histogram	genome-skim	0.97	106952565	0.62	5.24	0.0040	150
moss_0.0_8x_novaseq_profR.hist	histogram	genome-skim	8.35	99310681	0.53	6.56	0.0041	150
moss_0.001_2x_HiSeq2500L150R.hist	histogram	genome-skim	1.98	104542242	0.59	7.21	0.0195	150
moss_0.001_8x_novaseq_profR.hist	histogram	genome-skim	8.33	99508515	0.55	6.48	0.0040	150
moss_0.001_8x_20.hist	histogram	genome-skim	12.68	65402607	0.85	10.05	0.0261	150
moss_0.01_1x_MiSeqv3L250R.hist	histogram	genome-skim	0.82	126259253	0.54	4.98	0.0126	150
moss_0.01_4x_20.hist	histogram	genome-skim	4.09	101459126	0.67	5.12	0.0127	150
moss_0.001_2x_23.hist	histogram	genome-skim	1.91	108610864	0.49	6.56	0.0074	150
moss_0.001_2x_MiSeqv3L250R.hist	histogram	genome-skim	2.04	101758365	0.52	7.37	0.0151	150
moss_0.01_1x_23.hist	histogram	genome-skim	0.98	105292899	0.64	4.88	0.0067	150
moss_0.0_4x_25.hist	histogram	genome-skim	4.05	102338950	0.51	6.65	0.0052	150
moss_0.001_1x_23.hist	histogram	genome-skim	1.06	97913770	0.60	6.40	0.0075	150
moss_0.01_4x_23.hist	histogram	genome-skim	4.11	100971901	0.66	5.23	0.0067	150
moss_0.01_8x_25.hist	histogram	genome-skim	8.27	100287661	0.66	4.83	0.0044	150
moss_0.0_8x_20.hist	histogram	genome-skim	12.75	65040753	0.83	10.55	0.0265	150
moss_0.0_1x_20.hist	histogram	genome-skim	0.98	105310970	0.56	7.03	0.0128	150
moss_0.01_8x_novaseq_profR.hist	histogram	genome-skim	8.22	100841087	0.66	4.91	0.0034	150
moss_0.0_2x_23.hist	histogram	genome-skim	1.93	107712433	0.48	6.99	0.0075	150
moss_0.001_1x_20.hist	histogram	genome-skim	0.97	106520470	0.56	6.41	0.0127	150
moss_0.0_8x_MiSeqv3L250R.hist	histogram	genome-skim	9.48	87466247	0.61	7.72	0.0166	150
moss_0.01_1x_HiSeq2500L150R.hist	histogram	genome-skim	0.84	122861153	0.62	5.05	0.0173	150
moss_0.001_2x_25.hist	histogram	genome-skim	1.84	112527988	0.45	6.61	0.0050	150
moss_0.0_1x_25.hist	histogram	genome-skim	0.95	109115165	0.49	6.67	0.0055	150
moss_0.0_8x_23.hist	histogram	genome-skim	8.59	96571411	0.55	6.78	0.0079	150
