sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.001_4x_17.hist	histogram	genome-skim	3.54	116989242	0.56	7.16	0.0239	150
moss_0.01_8x_17.hist	histogram	genome-skim	7.80	106308767	0.65	6.17	0.0291	150
moss_0.001_2x_17.hist	histogram	genome-skim	1.85	111807636	0.59	6.55	0.0236	150
moss_0.001_1x_17.hist	histogram	genome-skim	0.70	148293613	0.52	6.32	0.0222	150
moss_0.0_2x_17.hist	histogram	genome-skim	1.82	113795309	0.58	7.09	0.0238	150
moss_0.001_8x_30.hist	histogram	genome-skim	8.10	102384007	0.53	6.19	0.0017	150
moss_0.0_2x_30.hist	histogram	genome-skim	1.83	113349204	0.44	6.40	0.0019	150
moss_0.001_2x_30.hist	histogram	genome-skim	1.81	114757463	0.44	6.18	0.0018	150
moss_0.01_4x_30.hist	histogram	genome-skim	4.00	103777245	0.64	4.61	0.0014	150
moss_0.01_8x_30.hist	histogram	genome-skim	8.08	102669695	0.65	4.54	0.0014	150
moss_0.001_4x_30.hist	histogram	genome-skim	3.99	103928503	0.52	6.15	0.0017	150
moss_0.001_8x_17.hist	histogram	genome-skim	7.43	111693128	0.56	8.68	0.0310	150
moss_0.0_1x_17.hist	histogram	genome-skim	0.63	164170457	0.49	7.22	0.0223	150
moss_0.01_1x_30.hist	histogram	genome-skim	0.96	107775152	0.61	4.89	0.0023	150
moss_0.0_4x_30.hist	histogram	genome-skim	3.97	104518622	0.50	6.47	0.0018	150
moss_0.01_2x_17.hist	histogram	genome-skim	1.86	111479286	0.65	5.31	0.0225	150
moss_0.0_4x_17.hist	histogram	genome-skim	3.53	117348312	0.56	7.34	0.0241	150
moss_0.01_4x_17.hist	histogram	genome-skim	3.63	114184695	0.63	5.25	0.0226	150
moss_0.01_1x_17.hist	histogram	genome-skim	0.86	120184722	0.65	5.46	0.0212	150
moss_0.0_8x_17.hist	histogram	genome-skim	7.39	112233053	0.56	8.97	0.0312	150
moss_0.0_1x_30.hist	histogram	genome-skim	0.97	106350457	0.52	6.77	0.0029	150
moss_0.0_8x_30.hist	histogram	genome-skim	8.10	102342551	0.52	6.38	0.0018	150
moss_0.001_1x_30.hist	histogram	genome-skim	0.95	108614549	0.49	6.39	0.0028	150
moss_0.01_2x_30.hist	histogram	genome-skim	1.96	106006571	0.61	4.60	0.0016	150
