sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
oyster_0.002_4x_1.hist	histogram	genome-skim	4.08	96222583	0.68	137.94	0.0043	150
oyster_0.0_8x_1.hist	histogram	genome-skim	8.30	94736545	0.67	148.60	0.0045	150
oyster_0.01_1x_1.hist	histogram	genome-skim	1.02	95898233	0.78	107.79	0.0042	150
oyster_0.006_8x_1.hist	histogram	genome-skim	8.22	95635014	0.73	121.61	0.0041	150
oyster_0.004_4x_1.hist	histogram	genome-skim	4.08	96356949	0.70	128.20	0.0041	150
oyster_0.01_8x_1.hist	histogram	genome-skim	8.17	96187869	0.77	107.09	0.0039	150
oyster_0.004_8x_1.hist	histogram	genome-skim	8.23	95483067	0.71	129.09	0.0042	150
oyster_0.001_8x_1.hist	histogram	genome-skim	8.30	94653536	0.68	142.59	0.0044	150
oyster_0.02_1x_1.hist	histogram	genome-skim	0.98	99837224	0.84	78.26	0.0038	150
oyster_0.001_2x_1.hist	histogram	genome-skim	2.02	97139654	0.65	140.39	0.0043	150
oyster_0.008_2x_1.hist	histogram	genome-skim	2.02	97136003	0.73	113.78	0.0040	150
oyster_0.0_4x_1.hist	histogram	genome-skim	4.09	96143937	0.65	147.92	0.0044	150
oyster_0.006_1x_1.hist	histogram	genome-skim	1.01	97588503	0.74	118.76	0.0043	150
oyster_0.004_2x_1.hist	histogram	genome-skim	2.02	97138995	0.69	129.77	0.0041	150
oyster_0.004_1x_1.hist	histogram	genome-skim	0.99	99520103	0.70	129.95	0.0045	150
oyster_0.001_1x_1.hist	histogram	genome-skim	0.91	108209525	0.56	142.69	0.0047	150
oyster_0.008_4x_1.hist	histogram	genome-skim	4.06	96795072	0.74	114.56	0.0039	150
oyster_0.02_8x_1.hist	histogram	genome-skim	8.12	96830946	0.84	77.38	0.0036	150
oyster_0.02_4x_1.hist	histogram	genome-skim	4.03	97402635	0.83	77.30	0.0036	150
oyster_0.01_4x_1.hist	histogram	genome-skim	4.05	96982799	0.76	106.56	0.0039	150
oyster_0.0_1x_1.hist	histogram	genome-skim	1.01	97423483	0.65	149.19	0.0048	150
oyster_0.01_2x_1.hist	histogram	genome-skim	2.00	98065513	0.75	105.78	0.0038	150
oyster_0.002_8x_1.hist	histogram	genome-skim	8.28	94881055	0.69	137.25	0.0043	150
oyster_0.02_2x_1.hist	histogram	genome-skim	2.01	97872003	0.83	76.80	0.0036	150
oyster_0.002_1x_1.hist	histogram	genome-skim	1.03	95526974	0.70	140.08	0.0047	150
oyster_0.008_8x_1.hist	histogram	genome-skim	8.20	95840040	0.75	114.70	0.0040	150
oyster_0.001_4x_1.hist	histogram	genome-skim	4.09	95975887	0.67	141.48	0.0043	150
oyster_0.006_4x_1.hist	histogram	genome-skim	4.06	96699510	0.72	120.94	0.0040	150
oyster_0.0_2x_1.hist	histogram	genome-skim	1.99	98630068	0.63	146.47	0.0043	150
oyster_0.008_1x_1.hist	histogram	genome-skim	1.01	97457775	0.76	116.06	0.0043	150
oyster_0.002_2x_1.hist	histogram	genome-skim	2.01	97532367	0.66	138.00	0.0042	150
oyster_0.006_2x_1.hist	histogram	genome-skim	2.02	97079626	0.71	120.00	0.0040	150
