sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
club-moss_0.008_4x_1.hist	histogram	genome-skim	4.26	194832208	0.64	29.56	0.0044	150
club-moss_0.02_8x_1.hist	histogram	genome-skim	8.20	202701703	0.76	20.73	0.0039	150
club-moss_0.004_1x_1.hist	histogram	genome-skim	1.22	169849119	0.70	36.39	0.0045	150
club-moss_0.01_4x_1.hist	histogram	genome-skim	4.23	196155866	0.66	27.81	0.0043	150
club-moss_0.002_1x_1.hist	histogram	genome-skim	1.26	165087379	0.69	37.40	0.0045	150
club-moss_0.001_2x_1.hist	histogram	genome-skim	2.39	173715366	0.60	37.98	0.0046	150
club-moss_0.02_1x_1.hist	histogram	genome-skim	1.04	200346857	0.80	21.00	0.0040	150
club-moss_0.01_2x_1.hist	histogram	genome-skim	2.18	190816920	0.70	27.25	0.0041	150
club-moss_0.002_4x_1.hist	histogram	genome-skim	4.13	201045373	0.49	37.46	0.0048	150
club-moss_0.008_8x_1.hist	histogram	genome-skim	8.37	198520400	0.61	30.51	0.0046	150
club-moss_0.01_1x_1.hist	histogram	genome-skim	1.13	184549661	0.74	28.13	0.0044	150
club-moss_0.006_2x_1.hist	histogram	genome-skim	2.22	187213986	0.64	31.82	0.0043	150
club-moss_0.02_4x_1.hist	histogram	genome-skim	4.12	201749338	0.76	20.57	0.0038	150
club-moss_0.0_1x_1.hist	histogram	genome-skim	1.31	158430707	0.66	40.18	0.0046	150
club-moss_0.01_8x_1.hist	histogram	genome-skim	8.33	199530868	0.64	28.50	0.0044	150
club-moss_0.02_2x_1.hist	histogram	genome-skim	2.07	201129636	0.77	20.39	0.0038	150
club-moss_0.008_1x_1.hist	histogram	genome-skim	1.15	181352097	0.73	28.81	0.0044	150
club-moss_0.006_4x_1.hist	histogram	genome-skim	4.31	192866297	0.61	32.65	0.0046	150
club-moss_0.0_2x_1.hist	histogram	genome-skim	2.42	171583489	0.59	39.51	0.0046	150
club-moss_0.004_2x_1.hist	histogram	genome-skim	2.26	183662938	0.62	34.85	0.0044	150
club-moss_0.001_1x_1.hist	histogram	genome-skim	1.28	161738518	0.68	39.03	0.0046	150
club-moss_0.001_8x_1.hist	histogram	genome-skim	8.59	193362477	0.48	39.21	0.0055	150
club-moss_0.0_4x_1.hist	histogram	genome-skim	4.17	199046524	0.45	39.48	0.0050	150
club-moss_0.004_4x_1.hist	histogram	genome-skim	4.13	201143098	0.53	34.58	0.0046	150
club-moss_0.006_1x_1.hist	histogram	genome-skim	1.18	176035708	0.72	32.25	0.0045	150
club-moss_0.008_2x_1.hist	histogram	genome-skim	2.20	189055086	0.67	29.59	0.0042	150
club-moss_0.002_2x_1.hist	histogram	genome-skim	2.35	177053061	0.61	37.50	0.0045	150
club-moss_0.002_8x_1.hist	histogram	genome-skim	8.56	194112948	0.50	37.56	0.0054	150
club-moss_0.004_8x_1.hist	histogram	genome-skim	8.49	195652937	0.55	35.41	0.0050	150
club-moss_0.0_8x_1.hist	histogram	genome-skim	8.66	191872958	0.46	40.29	0.0058	150
club-moss_0.001_4x_1.hist	histogram	genome-skim	4.13	201214925	0.46	38.73	0.0049	150
club-moss_0.006_8x_1.hist	histogram	genome-skim	8.44	196874609	0.58	32.70	0.0048	150
