sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
nematode_0.001_4x_1.hist	histogram	genome-skim	4.12	203978042	0.75	25.97	0.0040	150
nematode_0.02_1x_1.hist	histogram	genome-skim	1.02	205440984	0.90	13.89	0.0037	150
nematode_0.0_2x_1.hist	histogram	genome-skim	2.06	203683681	0.74	26.70	0.0040	150
nematode_0.01_2x_1.hist	histogram	genome-skim	2.03	207156227	0.82	19.56	0.0037	150
nematode_0.002_4x_1.hist	histogram	genome-skim	4.12	203897116	0.76	25.21	0.0039	150
nematode_0.006_1x_1.hist	histogram	genome-skim	1.02	206951636	0.81	22.57	0.0039	150
nematode_0.01_4x_1.hist	histogram	genome-skim	4.07	206704494	0.82	19.35	0.0037	150
nematode_0.0_4x_1.hist	histogram	genome-skim	4.14	203160791	0.74	26.91	0.0040	150
nematode_0.004_1x_1.hist	histogram	genome-skim	1.02	206474645	0.80	23.63	0.0040	150
nematode_0.001_1x_1.hist	histogram	genome-skim	1.03	203942184	0.77	26.23	0.0041	150
nematode_0.02_8x_1.hist	histogram	genome-skim	8.09	207832995	0.87	14.17	0.0035	150
nematode_0.008_8x_1.hist	histogram	genome-skim	8.15	206261218	0.80	20.96	0.0037	150
nematode_0.001_2x_1.hist	histogram	genome-skim	2.06	203994420	0.75	26.06	0.0040	150
nematode_0.008_4x_1.hist	histogram	genome-skim	4.06	207106296	0.80	21.09	0.0037	150
nematode_0.02_2x_1.hist	histogram	genome-skim	2.03	207474789	0.88	14.18	0.0035	150
nematode_0.02_4x_1.hist	histogram	genome-skim	4.05	207614744	0.87	14.28	0.0035	150
nematode_0.004_4x_1.hist	histogram	genome-skim	4.11	204848490	0.77	23.63	0.0039	150
nematode_0.006_4x_1.hist	histogram	genome-skim	4.05	207546490	0.78	22.79	0.0038	150
nematode_0.0_1x_1.hist	histogram	genome-skim	1.05	200954425	0.77	26.82	0.0042	150
nematode_0.008_2x_1.hist	histogram	genome-skim	2.03	207195706	0.80	21.24	0.0037	150
nematode_0.0_8x_1.hist	histogram	genome-skim	8.22	204505703	0.73	26.84	0.0041	150
nematode_0.004_8x_1.hist	histogram	genome-skim	8.19	205414059	0.77	23.65	0.0039	150
nematode_0.006_2x_1.hist	histogram	genome-skim	2.04	205896326	0.79	23.06	0.0038	150
nematode_0.006_8x_1.hist	histogram	genome-skim	8.17	205872009	0.79	23.01	0.0038	150
nematode_0.002_8x_1.hist	histogram	genome-skim	8.21	204854669	0.75	25.63	0.0040	150
nematode_0.008_1x_1.hist	histogram	genome-skim	1.03	203155418	0.83	21.06	0.0039	150
nematode_0.001_8x_1.hist	histogram	genome-skim	8.22	204690900	0.74	26.17	0.0040	150
nematode_0.01_1x_1.hist	histogram	genome-skim	1.02	206516608	0.85	19.39	0.0038	150
nematode_0.002_1x_1.hist	histogram	genome-skim	1.05	200570689	0.79	25.72	0.0041	150
nematode_0.002_2x_1.hist	histogram	genome-skim	2.06	203753061	0.76	24.98	0.0039	150
nematode_0.01_8x_1.hist	histogram	genome-skim	8.14	206554536	0.82	19.57	0.0037	150
nematode_0.004_2x_1.hist	histogram	genome-skim	2.04	205704923	0.78	23.60	0.0038	150
