sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.001_1x_25.hist	histogram	genome-skim	0.95	109491920	0.50	7.11	0.0054	150
moss_0.001_8x_25.hist	histogram	genome-skim	8.41	98661288	0.56	6.33	0.0051	150
moss_0.01_2x_20.hist	histogram	genome-skim	1.98	104729148	0.64	5.11	0.0122	150
moss_0.0_1x_23.hist	histogram	genome-skim	0.96	107713709	0.50	7.04	0.0076	150
moss_0.01_4x_25.hist	histogram	genome-skim	4.08	101578912	0.65	4.76	0.0043	150
moss_0.0_8x_25.hist	histogram	genome-skim	8.42	98493841	0.54	6.79	0.0052	150
moss_0.001_4x_23.hist	histogram	genome-skim	4.04	102557855	0.52	6.49	0.0078	150
moss_0.01_8x_23.hist	histogram	genome-skim	8.40	98685028	0.68	5.00	0.0067	150
moss_0.0_2x_25.hist	histogram	genome-skim	1.88	110103139	0.46	6.62	0.0050	150
moss_0.001_4x_20.hist	histogram	genome-skim	3.94	105157826	0.52	6.59	0.0141	150
moss_0.001_2x_20.hist	histogram	genome-skim	1.95	106631073	0.52	7.01	0.0133	150
moss_0.01_2x_23.hist	histogram	genome-skim	1.99	104128512	0.63	4.87	0.0065	150
moss_0.0_2x_20.hist	histogram	genome-skim	1.95	106225050	0.52	6.94	0.0135	150
moss_0.001_8x_20.hist	histogram	genome-skim	12.68	65402607	0.85	10.05	0.0261	150
moss_0.01_4x_20.hist	histogram	genome-skim	4.09	101459126	0.67	5.12	0.0127	150
moss_0.001_2x_23.hist	histogram	genome-skim	1.91	108610864	0.49	6.56	0.0074	150
moss_0.01_1x_23.hist	histogram	genome-skim	0.98	105292899	0.64	4.88	0.0067	150
moss_0.0_4x_25.hist	histogram	genome-skim	4.05	102338950	0.51	6.65	0.0052	150
moss_0.001_1x_23.hist	histogram	genome-skim	1.06	97913770	0.60	6.40	0.0075	150
moss_0.01_4x_23.hist	histogram	genome-skim	4.11	100971901	0.66	5.23	0.0067	150
moss_0.01_8x_25.hist	histogram	genome-skim	8.27	100287661	0.66	4.83	0.0044	150
moss_0.0_8x_20.hist	histogram	genome-skim	12.75	65040753	0.83	10.55	0.0265	150
moss_0.0_1x_20.hist	histogram	genome-skim	0.98	105310970	0.56	7.03	0.0128	150
moss_0.0_2x_23.hist	histogram	genome-skim	1.93	107712433	0.48	6.99	0.0075	150
moss_0.001_1x_20.hist	histogram	genome-skim	0.97	106520470	0.56	6.41	0.0127	150
moss_0.001_2x_25.hist	histogram	genome-skim	1.84	112527988	0.45	6.61	0.0050	150
moss_0.0_1x_25.hist	histogram	genome-skim	0.95	109115165	0.49	6.67	0.0055	150
moss_0.0_8x_23.hist	histogram	genome-skim	8.59	96571411	0.55	6.78	0.0079	150
moss_0.01_8x_20.hist	histogram	genome-skim	8.61	96284422	0.69	5.22	0.0129	150
moss_0.0_4x_20.hist	histogram	genome-skim	3.73	111227272	0.46	7.01	0.0144	150
moss_0.001_8x_23.hist	histogram	genome-skim	8.55	96990232	0.57	6.77	0.0078	150
moss_0.01_2x_25.hist	histogram	genome-skim	1.98	104781536	0.62	5.07	0.0043	150
moss_0.0_4x_23.hist	histogram	genome-skim	4.05	102506228	0.51	6.93	0.0080	150
moss_0.01_1x_20.hist	histogram	genome-skim	0.90	115357475	0.62	4.93	0.0117	150
moss_0.001_4x_25.hist	histogram	genome-skim	4.08	101533914	0.53	6.39	0.0051	150
moss_0.01_1x_25.hist	histogram	genome-skim	0.95	108983700	0.61	5.00	0.0047	150
moss_0.01_8x_17.hist	histogram	genome-skim	7.85	105634375	0.66	6.36	0.0291	150
moss_0.0_2x_17.hist	histogram	genome-skim	1.83	113427940	0.58	7.25	0.0238	150
moss_0.001_8x_30.hist	histogram	genome-skim	8.10	102383756	0.53	6.14	0.0017	150
moss_0.01_2x_17.hist	histogram	genome-skim	1.83	112997844	0.63	5.17	0.0226	150
moss_0.0_2x_30.hist	histogram	genome-skim	1.82	114136440	0.43	6.53	0.0019	150
moss_0.01_2x_30.hist	histogram	genome-skim	1.95	106082702	0.61	4.69	0.0015	150
moss_0.0_4x_17.hist	histogram	genome-skim	3.54	117116196	0.55	7.27	0.0241	150
moss_0.0_1x_17.hist	histogram	genome-skim	0.80	129639499	0.56	6.53	0.0224	150
moss_0.001_1x_17.hist	histogram	genome-skim	0.94	110177627	0.69	6.52	0.0221	150
moss_0.0_8x_30.hist	histogram	genome-skim	8.16	101656752	0.52	6.31	0.0018	150
moss_0.001_2x_17.hist	histogram	genome-skim	1.86	111586846	0.59	6.79	0.0236	150
moss_0.001_1x_30.hist	histogram	genome-skim	0.96	107887607	0.49	6.76	0.0028	150
moss_0.001_2x_30.hist	histogram	genome-skim	1.85	112202883	0.46	6.16	0.0018	150
moss_0.001_4x_30.hist	histogram	genome-skim	3.96	104619599	0.51	6.39	0.0017	150
moss_0.01_1x_30.hist	histogram	genome-skim	0.98	106250638	0.62	4.77	0.0023	150
moss_0.0_1x_30.hist	histogram	genome-skim	0.98	105427297	0.49	6.58	0.0029	150
moss_0.0_4x_30.hist	histogram	genome-skim	3.96	104629704	0.50	6.33	0.0017	150
moss_0.01_4x_17.hist	histogram	genome-skim	3.63	114299779	0.63	5.20	0.0226	150
moss_0.01_4x_30.hist	histogram	genome-skim	4.00	103781391	0.64	4.61	0.0014	150
moss_0.001_4x_17.hist	histogram	genome-skim	3.52	117696421	0.56	7.11	0.0239	150
moss_0.001_8x_17.hist	histogram	genome-skim	7.42	111795277	0.56	8.96	0.0310	150
moss_0.01_1x_17.hist	histogram	genome-skim	0.83	124337135	0.63	5.33	0.0212	150
moss_0.01_8x_30.hist	histogram	genome-skim	8.08	102682974	0.65	4.74	0.0014	150
moss_0.0_8x_17.hist	histogram	genome-skim	7.15	116028517	0.53	9.00	0.0312	150
moss_0.06_4x_20.hist	histogram	genome-skim	4.01	103443180	0.95	0.98	0.0103	150
moss_0.06_2x_25.hist	histogram	genome-skim	2.02	102745631	0.94	0.95	0.0034	150
moss_0.06_1x_30.hist	histogram	genome-skim	1.03	100918726	0.95	0.92	0.0015	150
moss_0.06_2x_20.hist	histogram	genome-skim	2.01	103087243	0.95	1.05	0.0102	150
moss_0.06_2x_23.hist	histogram	genome-skim	2.01	103138988	0.94	1.08	0.0052	150
moss_0.06_8x_23.hist	histogram	genome-skim	8.05	103044349	0.94	0.92	0.0052	150
moss_0.06_4x_23.hist	histogram	genome-skim	4.01	103284760	0.94	0.95	0.0052	150
moss_0.06_4x_25.hist	histogram	genome-skim	4.01	103336511	0.94	0.93	0.0033	150
moss_0.06_1x_20.hist	histogram	genome-skim	1.03	100920740	0.97	1.16	0.0103	150
moss_0.06_1x_25.hist	histogram	genome-skim	1.03	100959132	0.96	1.05	0.0035	150
moss_0.06_1x_23.hist	histogram	genome-skim	0.98	106317373	0.95	0.94	0.0051	150
moss_0.06_2x_30.hist	histogram	genome-skim	2.00	103442007	0.94	0.97	0.0011	150
moss_0.06_8x_30.hist	histogram	genome-skim	8.01	103509154	0.94	0.93	0.0011	150
moss_0.06_8x_20.hist	histogram	genome-skim	8.07	102723919	0.94	0.95	0.0103	150
moss_0.06_8x_25.hist	histogram	genome-skim	8.04	103157085	0.94	0.95	0.0033	150
moss_0.06_4x_30.hist	histogram	genome-skim	4.01	103432922	0.94	0.95	0.0011	150
